host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,room_type,bathrooms,accommodates,bedrooms,square_feet,price,number_of_reviews,has_availability,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
992557,2011-08-19,a few days or more,FALSE,0,0,Wychwood,Entire home/apt,1,6,3,NA,$199.00,21,TRUE,92,9,9,9,10,10,9
1015926,2011-08-24,within an hour,FALSE,3,3,Stonegate-Queensway,Private room,1,2,1,0,$68.00,27,TRUE,96,10,10,10,10,9,9
1019538,2011-08-25,within a day,FALSE,2,2,Little Portugal,Entire home/apt,2,4,2,NA,$251.00,17,TRUE,94,10,9,10,10,9,9
1028504,2011-08-27,within a day,FALSE,1,1,Niagara,Entire home/apt,1,2,1,NA,$144.00,35,TRUE,93,9,9,9,9,10,9
1169979,2011-09-16,within a few hours,FALSE,3,3,North Riverdale,Entire home/apt,1,3,1,NA,$225.00,18,TRUE,81,9,8,9,9,9,9
1170217,2011-09-16,within a day,FALSE,2,2,Church-Yonge Corridor,Private room,1,2,1,0,$85.00,26,TRUE,92,10,9,10,10,10,9
934821,2011-08-07,N/A,FALSE,4,4,North St.James Town,Entire home/apt,2,4,2,1195,$400.00,55,TRUE,98,10,9,10,10,10,10
1200620,2011-09-23,N/A,FALSE,1,1,Niagara,Entire home/apt,1,5,2,NA,$325.00,10,TRUE,93,9,9,10,10,10,9
706457,2011-06-15,within an hour,FALSE,1,1,Bay Street Corridor,Private room,2,2,2,NA,$121.00,39,TRUE,92,10,9,9,9,10,9
1210571,2011-09-26,N/A,FALSE,1,1,Dovercourt-Wallace Emerson-Junction,Entire home/apt,1,2,1,NA,$99.00,0,TRUE,NA,NA,NA,NA,NA,NA,NA
1218097,2011-09-27,within an hour,FALSE,2,2,Annex,Entire home/apt,1,3,1,NA,$265.00,4,TRUE,93,10,9,9,10,10,9
1203746,2011-09-24,within an hour,FALSE,1,1,South Riverdale,Entire home/apt,1,3,1,NA,$140.00,97,TRUE,97,10,10,10,10,10,10
349772,2011-01-16,within a day,TRUE,1,1,Annex,Entire home/apt,1,2,1,NA,$95.00,23,TRUE,93,10,8,10,10,10,9
1304211,2011-10-17,within a few hours,FALSE,2,2,Caledonia-Fairbank,Private room,1,1,1,NA,$38.00,14,TRUE,100,10,10,10,10,8,9
1367540,2011-11-03,within a few hours,FALSE,5,5,Moss Park,Private room,1,5,1,0,$70.00,147,TRUE,86,9,9,9,8,9,9
1367540,2011-11-03,within a few hours,FALSE,5,5,Moss Park,Private room,1,5,1,NA,$65.00,72,TRUE,88,9,8,9,9,9,9
1367540,2011-11-03,within a few hours,FALSE,5,5,Moss Park,Private room,1,5,1,0,$65.00,104,TRUE,85,9,9,9,8,9,9
1396237,2011-11-11,within an hour,FALSE,1,1,Niagara,Entire home/apt,1,2,1,NA,$105.00,5,TRUE,100,10,10,10,10,10,10
1311843,2011-10-19,within an hour,FALSE,1,1,Roncesvalles,Entire home/apt,1,4,2,NA,$140.00,7,TRUE,86,9,8,9,10,10,9
1408862,2011-11-15,N/A,FALSE,1,1,Broadview North,Private room,1,1,1,80,$76.00,0,TRUE,NA,NA,NA,NA,NA,NA,NA
1367540,2011-11-03,within a few hours,FALSE,5,5,Moss Park,Private room,1,2,1,0,$54.00,113,TRUE,77,9,8,9,9,9,9
1411076,2011-11-15,N/A,FALSE,1,1,Yonge-St.Clair,Entire home/apt,2,5,3,2000,$199.00,0,TRUE,NA,NA,NA,NA,NA,NA,NA
1415439,2011-11-16,within an hour,FALSE,5,5,Waterfront Communities-The Island,Entire home/apt,1,4,1,750,$190.00,79,TRUE,98,10,10,10,10,10,10
1409872,2011-11-15,N/A,FALSE,1,1,Church-Yonge Corridor,Private room,1,1,1,NA,$176.00,0,TRUE,NA,NA,NA,NA,NA,NA,NA
1430894,2011-11-21,within an hour,TRUE,10,10,Palmerston-Little Italy,Entire home/apt,2,4,2,1350,$252.00,109,TRUE,94,10,10,10,10,10,9
1367540,2011-11-03,within a few hours,FALSE,5,5,Moss Park,Private room,1,2,1,0,$76.00,143,TRUE,83,8,8,8,8,8,8
1477264,2011-12-06,N/A,FALSE,1,1,Kensington-Chinatown,Private room,1,1,1,0,$135.00,16,TRUE,97,10,10,10,10,10,10
1368256,2011-11-03,within a day,FALSE,1,1,North St.James Town,Entire home/apt,1.5,6,2,NA,$125.00,21,TRUE,90,10,10,10,9,9,10
1270530,2011-10-10,within a day,TRUE,1,1,Niagara,Entire home/apt,1,2,1,NA,$199.00,91,TRUE,99,10,10,10,10,10,10
